"","Date","Open","Volume","Adj Close"
"59","04.10.2023",7.43894,"2,96B",7.45986
"60","03.10.2023",7.45986,"3,08B",7.31819
"61","02.10.2023",7.31819,"3,32B",7.21269
"62","29.09.2023",7.21269,"3,06B",7.1979
"63","28.09.2023",7.1979,"2,78B",7.22648
"64","27.09.2023",7.22648,"2,67B",7.31532
"65","26.09.2023",7.31532,"3,37B",7.08123
"66","25.09.2023",7.08123,"3,08B",7.0244
"67","22.09.2023",7.0244,"2,66B",6.7416
"68","21.09.2023",6.7416,"3,09B",6.84768
"69","20.09.2023",6.84768,"2,60B",6.71998
"70","19.09.2023",6.71998,"2,42B",6.93676
"71","18.09.2023",6.93676,"2,33B",7.12856
"72","15.09.2023",7.12856,"2,86B",7.03839
"73","14.09.2023",7.03839,"3,02B",7.15932
"74","13.09.2023",7.15932,"3,02B",7.14835
"75","12.09.2023",7.14835,"3,06B",7.34818
"76","11.09.2023",7.34818,"3,28B",7.33254
"77","08.09.2023",7.33254,"2,66B",7.215
"78","07.09.2023",7.215,"3,69B",7.26284
"79","06.09.2023",7.26284,"4,30B",7.11814
"80","05.09.2023",7.11814,"4,04B",7.11564
"81","04.09.2023",7.11564,"3,43B",6.98114
"82","01.09.2023",6.98114,"3,10B",7.01817
"83","31.08.2023",7.01817,"3,24B",7.02757
"84","29.08.2023",7.02757,"3,37B",6.9114
"85","28.08.2023",6.9114,"3,90B",6.65958
"86","25.08.2023",6.65958,"3,70B",6.73629
"87","24.08.2023",6.73629,"6,21B",6.89421
"88","23.08.2023",6.89421,"4,10B",6.95135
"89","22.08.2023",6.95135,"3,35B",6.57953
"90","21.08.2023",6.57953,"3,98B",6.90785
"91","18.08.2023",6.90785,"3,30B",6.79964
"92","17.08.2023",6.79964,"2,95B",6.82412
"93","16.08.2023",6.82412,"3,36B",6.89788
"94","15.08.2023",6.89788,"3,23B",6.9324
"95","14.08.2023",6.9324,"3,47B",6.64148
"96","11.08.2023",6.64148,"3,72B",6.82094
"97","10.08.2023",6.82094,"5,01B",6.60688
"98","09.08.2023",6.60688,"4,22B",6.68184
"99","08.08.2023",6.68184,"2,97B",6.61913
"100","07.08.2023",6.61913,"2,69B",6.46113
"101","04.08.2023",6.46113,"2,99B",6.51328
"102","03.08.2023",6.51328,"3,34B",6.40483
"103","02.08.2023",6.40483,"3,64B",6.43397
"104","01.08.2023",6.43397,"4,10B",6.38048
"105","31.07.2023",6.38048,"4,59B",6.17894
"106","28.07.2023",6.17894,"4,62B",6.0627
"107","27.07.2023",6.0627,"3,79B",5.88662
"108","26.07.2023",5.88662,"3,35B",5.99083
"109","25.07.2023",5.99083,"3,15B",6.00316
"110","24.07.2023",6.00316,"3,00B",5.98542
"111","21.07.2023",5.98542,"2,55B",5.94507
"112","20.07.2023",5.94507,"3,91B",5.70561
"113","19.07.2023",5.70561,"2,96B",5.95537
"114","18.07.2023",5.95537,"3,68B",5.83877
"115","17.07.2023",5.83877,"3,03B",5.77059
"116","14.07.2023",5.77059,"2,35B",5.70943
"117","13.07.2023",5.70943,"3,79B",5.70831
"118","12.07.2023",5.70831,"4,24B",5.70921
"119","11.07.2023",5.70921,"4,03B",5.62316
"120","10.07.2023",5.62316,"2,80B",5.5129
"121","07.07.2023",5.5129,"2,72B",5.51652
"122","06.07.2023",5.51652,"2,89B",5.4174
"123","05.07.2023",5.4174,"2,97B",5.43959
"124","04.07.2023",5.43959,"3,40B",5.27795
"125","03.07.2023",5.27795,"2,74B",5.15817
"126","27.06.2023",5.15817,"872,23M",5.08975
"127","26.06.2023",5.08975,"2,15B",4.97019
"128","23.06.2023",4.97019,"2,62B",4.68562
"129","22.06.2023",4.68562,"3,10B",4.75971
"130","21.06.2023",4.75971,"1,80B",4.74442
"131","20.06.2023",4.74442,"2,17B",4.9469
"132","19.06.2023",4.9469,"1,94B",4.98104
"133","16.06.2023",4.98104,"2,40B",4.86539
"134","15.06.2023",4.86539,"2,16B",4.8941
"135","14.06.2023",4.8941,"2,88B",5.01271
"136","13.06.2023",5.01271,"2,59B",5.12232
"137","12.06.2023",5.12232,"2,58B",5.06301
"138","09.06.2023",5.06301,"2,68B",5.01085
"139","08.06.2023",5.01085,"2,79B",4.97545
"140","07.06.2023",4.97545,"4,09B",4.83554
"141","06.06.2023",4.83554,"2,78B",4.70512
"142","05.06.2023",4.70512,"3,35B",4.5778
"143","02.06.2023",4.5778,"3,06B",4.41836
"144","01.06.2023",4.41836,"1,94B",4.45024
"145","31.05.2023",4.45024,"3,18B",4.3488
"146","30.05.2023",4.3488,"3,33B",4.2228
"147","29.05.2023",4.2228,"2,53B",3.98444
"148","26.05.2023",3.98444,"2,12B",3.98411
"149","25.05.2023",3.98411,"1,49B",4.01833
"150","24.05.2023",4.01833,"1,58B",4.00299
"151","23.05.2023",4.00299,"1,60B",4.06257
"152","22.05.2023",4.06257,"1,99B",4.19852
"153","18.05.2023",4.19852,"2,17B",4.14185
"154","17.05.2023",4.14185,"2,47B",3.95614
"155","16.05.2023",3.95614,"3,57B",4.04906
"156","15.05.2023",4.04906,"1,93B",4.42111
"157","12.05.2023",4.42111,"3,07B",4.0443
"158","11.05.2023",4.0443,"3,45B",4.08947
"159","10.05.2023",4.08947,"1,93B",4.09214
"160","09.05.2023",4.09214,"2,42B",3.98502
"161","08.05.2023",3.98502,"1,84B",4.02926
"162","05.05.2023",4.02926,"1,18B",4.03132
"163","04.05.2023",4.03132,"1,45B",4.05853
"164","03.05.2023",4.05853,"1,67B",4.14569
"165","02.05.2023",4.14569,"1,41B",4.30814
"166","28.04.2023",4.30814,"1,49B",4.28588
"167","27.04.2023",4.28588,"1,52B",4.38438
"168","26.04.2023",4.38438,"1,49B",4.51633
"169","25.04.2023",4.51633,"1,61B",4.51619
"170","24.04.2023",4.51619,"1,29B",4.53202
"171","20.04.2023",4.53202,"895,55M",4.52289
"172","19.04.2023",4.52289,"1,74B",4.57062
"173","18.04.2023",4.57062,"1,54B",4.59947
"174","17.04.2023",4.59947,"1,47B",4.62835
"175","14.04.2023",4.62835,"1,46B",4.64702
"176","13.04.2023",4.64702,"1,96B",4.60803
"177","12.04.2023",4.60803,"2,10B",4.59406
"178","11.04.2023",4.59406,"2,20B",4.44843
"179","10.04.2023",4.44843,"1,88B",4.42398
"180","07.04.2023",4.42398,"1,31B",4.42345
"181","06.04.2023",4.42345,"1,25B",4.50393
"182","05.04.2023",4.50393,"1,64B",4.35597
"183","04.04.2023",4.35597,"1,76B",4.31749
"184","03.04.2023",4.31749,"1,80B",4.37669
"185","31.03.2023",4.37669,"1,70B",4.42846
"186","30.03.2023",4.42846,"1,85B",4.30991
"187","29.03.2023",4.30991,"1,88B",4.48929
"188","28.03.2023",4.48929,"1,59B",4.55268
"189","27.03.2023",4.55268,"1,45B",4.57
"190","24.03.2023",4.57,"1,66B",4.4976
"191","23.03.2023",4.4976,"1,89B",4.43472
"192","22.03.2023",4.43472,"1,83B",4.47995
"193","21.03.2023",4.47995,"2,13B",4.5915
"194","20.03.2023",4.5915,"2,18B",4.7536
"195","17.03.2023",4.7536,"2,18B",4.64312
